abbreviations,defenitions,GPT4,GPT4o,GPT3,Mistral,Llama3
FR on RTS/ITS ,"Final report on the technical standards on reporting, data quality, data access and registration of TRs under EMIR REFIT10 ",FALSE,TRUE,FALSE,FALSE,TRUE
CPMI ,Committee on Payments and Market Infrastructures ,TRUE,TRUE,TRUE,TRUE,TRUE
EC,European Commission ,TRUE,TRUE,FALSE,TRUE,TRUE
ECB ,European Central Bank ,TRUE,TRUE,TRUE,TRUE,TRUE
EEA ,European Economic Area ,TRUE,TRUE,TRUE,TRUE,TRUE
ERR ,Entity responsible for reporting ,FALSE,FALSE,FALSE,FALSE,FALSE
ESCB ,European System of Central Banks ,TRUE,TRUE,FALSE,TRUE,TRUE
EU ,European Union ,TRUE,TRUE,TRUE,TRUE,TRUE
FIRDS ,Financial Instruments Reference Data System ,TRUE,TRUE,TRUE,TRUE,TRUE
FSB ,Financial Stability Board ,TRUE,TRUE,TRUE,TRUE,TRUE
IOSCO ,International Organisation of Securities Commissions ,TRUE,TRUE,TRUE,TRUE,TRUE
ISIN ,International Securities Identification Number ,TRUE,TRUE,TRUE,TRUE,TRUE
LEI ,Legal entity identifier ,TRUE,TRUE,TRUE,TRUE,TRUE
ISO ,International Organization for Standardization ,TRUE,TRUE,TRUE,TRUE,TRUE
MIC ,Market identifier code ,FALSE,TRUE,TRUE,TRUE,TRUE
NCA ,National Competent Authority ,FALSE,TRUE,TRUE,TRUE,TRUE
OJ ,The Official Journal of the European Union ,FALSE,TRUE,FALSE,TRUE,FALSE
RSE ,Report submitting entity ,FALSE,FALSE,FALSE,FALSE,FALSE
SWIFT ,Society for Worldwide Interbank Financial Telecommunication ,TRUE,TRUE,FALSE,TRUE,TRUE
TR ,Trade repository ,FALSE,TRUE,FALSE,TRUE,TRUE
UTI ,Unique Transaction Identifier,FALSE,TRUE,TRUE,TRUE,TRUE
XML ,Extensible Mark-up Language ,TRUE,TRUE,TRUE,TRUE,TRUE
XSD ,XML Schema Definition,FALSE,TRUE,TRUE,TRUE,TRUE
ESRB,European Systemic Risk Board,FALSE,TRUE,FALSE,TRUE,TRUE
UCITS,undertaking for collective investment in transferable securities ,TRUE,TRUE,TRUE,TRUE,TRUE
EBA,European Banking Authority,TRUE,TRUE,TRUE,TRUE,TRUE
EIOPA,European Insurance and Occupational Pensions Authority,TRUE,TRUE,TRUE,TRUE,TRUE
TFEU, Treaty on the Functioning of the European Union ,TRUE,TRUE,TRUE,TRUE,TRUE
IORP, institution for occupational retirement provision ,TRUE,TRUE,TRUE,TRUE,TRUE
AIF,Alternative Investment Fund,TRUE,TRUE,TRUE,TRUE,TRUE
AIFM,Alternative Investment Fund Managers,TRUE,TRUE,TRUE,TRUE,TRUE
AIFMD,Alternative Investment Fund Managers Directive,TRUE,TRUE,TRUE,TRUE,TRUE
CCP,Central Counterparty,FALSE,TRUE,TRUE,TRUE,TRUE
CSD,Central Securities Depository,TRUE,TRUE,TRUE,TRUE,TRUE
CICI,CFTC Interim Compliant Identifier,FALSE,TRUE,TRUE,FALSE,FALSE
CT,Clearing Threshold,FALSE,FALSE,FALSE,FALSE,FALSE
EMIR,European Market Infrastructure Regulation,TRUE,TRUE,TRUE,TRUE,TRUE
ESMA,The European Markets and Securities Authority,TRUE,TRUE,FALSE,TRUE,TRUE
ETD,Exchange Traded Derivatives,FALSE,TRUE,FALSE,TRUE,TRUE
FC,Financial Counterparty,FALSE,TRUE,TRUE,FALSE,TRUE
FC+,"Financial Counterparty above the clearing threshold, as referred in Article 4a of EMIR",FALSE,FALSE,FALSE,FALSE,FALSE
FX,foreign exchange,TRUE,TRUE,TRUE,TRUE,TRUE
MiFID,The Markets in Financial Instruments Directive,TRUE,TRUE,FALSE,TRUE,TRUE
MTF,Multilateral Trading Facility,FALSE,TRUE,TRUE,TRUE,TRUE
NCA ,National Competent Authority,FALSE,TRUE,TRUE,TRUE,TRUE
NFC,Non-financial Counterparty,FALSE,TRUE,TRUE,TRUE,TRUE
NFC+,"Non-financial Counterparty above the clearing threshold, as referred to in Article 10 of EMIR",FALSE,FALSE,FALSE,FALSE,TRUE
NFC-,Non-financial Counterparty below the clearing threshold,FALSE,FALSE,FALSE,FALSE,TRUE
OTC,over-the-counter,TRUE,TRUE,TRUE,TRUE,TRUE
Q&A,Question and Answer,TRUE,TRUE,TRUE,TRUE,TRUE
RTS,Regulatory Technical Standards,FALSE,TRUE,TRUE,TRUE,TRUE
SPV,Special Purpose Vehicle,TRUE,TRUE,TRUE,TRUE,TRUE
TR ,Trade Repositories,FALSE,TRUE,FALSE,TRUE,TRUE
UTI ,Unique Transaction Identifier,FALSE,TRUE,FALSE,TRUE,TRUE
DORA,Digital Operational Resilience Act,FALSE,TRUE,FALSE,TRUE,TRUE
ESA,European Supervisory Authorities,FALSE,TRUE,FALSE,TRUE,TRUE
TPP,Third-Party Providers,FALSE,TRUE,FALSE,TRUE,TRUE
TPRM,Third-Party Risk Management,TRUE,TRUE,TRUE,TRUE,TRUE
CSP,cloud Service Provider,TRUE,TRUE,FALSE,FALSE,TRUE
CTPPs,Critical ICT Third-Party Providers,FALSE,TRUE,FALSE,TRUE,FALSE
JOF,Joint Oversight Forum,FALSE,FALSE,FALSE,TRUE,TRUE
NIS2,Information Security Directive 2,FALSE,TRUE,FALSE,FALSE,FALSE
PSD2,Payment Services Directive 2,FALSE,TRUE,TRUE,TRUE,TRUE
CSIRTs,Cooperation Group and computer security incident response teams,FALSE,TRUE,FALSE,FALSE,FALSE
ENISA,European Union Agency for Cybersecurity,TRUE,TRUE,TRUE,TRUE,TRUE
PSTN,Public Switched Telephone Network,TRUE,TRUE,TRUE,TRUE,TRUE
POTS,Plain Old Telephone Service,TRUE,TRUE,TRUE,TRUE,TRUE
TLPT,threat-led penetration testing,FALSE,TRUE,FALSE,FALSE,FALSE
G-SIIs,global systemically important institutions,TRUE,TRUE,TRUE,FALSE,TRUE
O-SIIs,other systemically important institutions,TRUE,TRUE,TRUE,TRUE,TRUE
BIA,business impact analysis,TRUE,TRUE,TRUE,FALSE,TRUE
JON,Joint Oversight Network,FALSE,FALSE,FALSE,FALSE,FALSE
EGBPI,"Expert Group on Banking, Payments and Insurance",FALSE,FALSE,FALSE,FALSE,FALSE
RSB,Regulatory Scrutiny Board,FALSE,TRUE,FALSE,FALSE,FALSE
SFD,settlement finality in payment and securities settlement systems,FALSE,TRUE,FALSE,FALSE,FALSE
MFF,Multiannual Financial Framework,TRUE,TRUE,TRUE,TRUE,TRUE
OLAF,European Anti-Fraud Office,TRUE,TRUE,TRUE,TRUE,TRUE
CIISI-EU,Cyber threat Intelligence Information Sharing Initiative,FALSE,FALSE,FALSE,TRUE,FALSE
CSIRTS,Computer Security Incident Response Teams,TRUE,TRUE,TRUE,TRUE,FALSE
T2S,TARGET2-Securites,TRUE,TRUE,TRUE,TRUE,TRUE
TIPS,TARGET Instant Payment Settlement,TRUE,TRUE,TRUE,FALSE,TRUE
FMIs,financial market infrastructures ,TRUE,TRUE,TRUE,TRUE,TRUE
SSM,Single Supervisory Mechanism,TRUE,TRUE,TRUE,TRUE,TRUE
TIBER-EU,Threat Intelligence Based Ethical Red-teaming,TRUE,TRUE,TRUE,TRUE,TRUE
TCT,TIBER Cyber Team,FALSE,FALSE,FALSE,FALSE,FALSE
DOI,declaration of interests,FALSE,FALSE,FALSE,FALSE,FALSE
DG AGRI,Directorate-General for Agriculture and Rural Development,TRUE,TRUE,FALSE,TRUE,TRUE
EGTOP, Expert Group for Technical Advice on Organic Production,TRUE,TRUE,FALSE,FALSE,FALSE
SCA,Surveillance Authority and a Court of Justice,FALSE,FALSE,FALSE,FALSE,FALSE
INSEE,Institute of Statistics and Economic Studies,TRUE,TRUE,TRUE,FALSE,TRUE
RRF,Recovery and Resilience Facility ,TRUE,TRUE,TRUE,TRUE,TRUE
SDGs,Sustainable Development Goals,TRUE,TRUE,TRUE,TRUE,TRUE
RP,Recovery Plan,TRUE,FALSE,FALSE,TRUE,TRUE
EMU,Economic and Monetary Union,TRUE,TRUE,TRUE,TRUE,TRUE
CSOs,civil society organisations,TRUE,TRUE,TRUE,TRUE,TRUE
NRRPs,National Recovery and Resilience Plans,TRUE,TRUE,FALSE,TRUE,TRUE
OCS,organised civil society,FALSE,FALSE,FALSE,FALSE,FALSE
EPPO,European Public Prosecutor’s Office,TRUE,TRUE,TRUE,TRUE,TRUE
CPSR,Contractor Purchasing System Review,TRUE,FALSE,FALSE,FALSE,FALSE
DCMA,Defense Contract Management Agency,TRUE,FALSE,TRUE,FALSE,FALSE
ACO,"Administrative Contracting Officer,",FALSE,FALSE,FALSE,FALSE,FALSE
CAR,Correction Action Request,FALSE,FALSE,FALSE,FALSE,FALSE
CAP,Corrective Action Plan,FALSE,FALSE,FALSE,FALSE,FALSE
