abbreviations,GPT4,GPT4o,GPT3,Mistral,Llama3
CICI,FALSE,TRUE,TRUE,FALSE,FALSE
CT,FALSE,FALSE,FALSE,FALSE,FALSE
EMIR,TRUE,TRUE,TRUE,TRUE,TRUE
ESMA,TRUE,TRUE,FALSE,TRUE,TRUE
ETD,FALSE,TRUE,FALSE,TRUE,TRUE
FC,FALSE,FALSE,TRUE,FALSE,TRUE
FC+,FALSE,FALSE,FALSE,FALSE,FALSE
FX,TRUE,TRUE,TRUE,TRUE,TRUE
MiFID,TRUE,TRUE,FALSE,TRUE,TRUE
MTF,FALSE,TRUE,TRUE,TRUE,TRUE
NCA ,FALSE,TRUE,TRUE,TRUE,TRUE
NFC,FALSE,TRUE,TRUE,TRUE,TRUE
NFC+,FALSE,FALSE,FALSE,FALSE,TRUE
NFC-,FALSE,FALSE,FALSE,FALSE,TRUE
OTC,TRUE,TRUE,TRUE,TRUE,TRUE
Q&A,TRUE,TRUE,TRUE,TRUE,TRUE
RTS,TRUE,TRUE,TRUE,TRUE,TRUE
SPV,TRUE,TRUE,TRUE,TRUE,TRUE
TR ,TRUE,TRUE,FALSE,TRUE,TRUE
UTI ,TRUE,TRUE,FALSE,TRUE,TRUE
DORA,FALSE,TRUE,FALSE,TRUE,TRUE
ESA,FALSE,TRUE,FALSE,TRUE,TRUE
TPP,FALSE,TRUE,FALSE,TRUE,TRUE
TPRM,TRUE,TRUE,TRUE,TRUE,TRUE
CSP,TRUE,TRUE,FALSE,FALSE,TRUE
CTPPs,FALSE,TRUE,FALSE,TRUE,FALSE
JOF,FALSE,FALSE,FALSE,TRUE,TRUE
NIS2,FALSE,TRUE,FALSE,FALSE,FALSE
PSD2,TRUE,TRUE,TRUE,TRUE,TRUE
CSIRTs,FALSE,FALSE,FALSE,FALSE,FALSE
ENISA,TRUE,TRUE,TRUE,TRUE,TRUE
PSTN,TRUE,TRUE,TRUE,TRUE,TRUE
POTS,TRUE,TRUE,TRUE,TRUE,TRUE
TLPT,FALSE,TRUE,FALSE,FALSE,FALSE
G-SIIs,TRUE,TRUE,TRUE,FALSE,TRUE
O-SIIs,TRUE,TRUE,TRUE,TRUE,TRUE
BIA,TRUE,TRUE,TRUE,FALSE,TRUE
JON,FALSE,FALSE,FALSE,FALSE,FALSE
EGBPI,FALSE,FALSE,FALSE,FALSE,FALSE
RSB,FALSE,TRUE,FALSE,FALSE,FALSE
SFD,FALSE,TRUE,FALSE,FALSE,FALSE
MFF,TRUE,TRUE,TRUE,TRUE,TRUE
OLAF,TRUE,TRUE,TRUE,TRUE,TRUE
CIISI-EU,FALSE,FALSE,FALSE,TRUE,FALSE
CSIRTS,TRUE,TRUE,TRUE,TRUE,FALSE
T2S,TRUE,TRUE,TRUE,TRUE,TRUE
TIPS,TRUE,TRUE,TRUE,FALSE,TRUE
FMIs,TRUE,TRUE,TRUE,TRUE,TRUE
SSM,TRUE,TRUE,TRUE,TRUE,TRUE
TIBER-EU,TRUE,TRUE,TRUE,TRUE,TRUE
TCT,FALSE,FALSE,FALSE,FALSE,FALSE
DOI,FALSE,FALSE,FALSE,FALSE,FALSE
DG AGRI,TRUE,TRUE,FALSE,TRUE,TRUE
EGTOP,TRUE,TRUE,FALSE,FALSE,FALSE
SCA,FALSE,FALSE,FALSE,FALSE,FALSE
INSEE,TRUE,TRUE,TRUE,FALSE,TRUE
RRF,TRUE,TRUE,TRUE,TRUE,TRUE
SDGs,TRUE,TRUE,TRUE,TRUE,TRUE
RP,TRUE,FALSE,FALSE,TRUE,TRUE
EMU,TRUE,TRUE,TRUE,TRUE,TRUE
CSOs,TRUE,TRUE,TRUE,TRUE,TRUE
NRRPs,TRUE,TRUE,FALSE,TRUE,TRUE
OCS,FALSE,FALSE,FALSE,FALSE,FALSE
EPPO,TRUE,TRUE,TRUE,TRUE,TRUE
CPSR,TRUE,FALSE,FALSE,FALSE,FALSE
DCMA,TRUE,FALSE,TRUE,FALSE,FALSE
ACO,FALSE,FALSE,FALSE,FALSE,FALSE
CAR,FALSE,FALSE,FALSE,FALSE,FALSE
CAP,FALSE,FALSE,FALSE,FALSE,FALSE
Overall performance,0.7,0.78,0.53,0.66,0.74
