abbreviations,defenitions,GPT4,GPT4o,GPT3,Mistral,Llama3 1-Shot,Llama3 0-Shot
NCA ,National Competent Authority,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
NFC,Non-financial Counterparty,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
NFC+,"Non-financial Counterparty above the clearing threshold, as referred to in Article 10 of EMIR",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
NFC-,Non-financial Counterparty below the clearing threshold,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
OTC,over-the-counter,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Q&A,Question and Answer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RTS,Regulatory Technical Standards,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
SPV,Special Purpose Vehicle,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TR ,Trade Repositories,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
UTI ,Unique Transaction Identifier,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
DORA,Digital Operational Resilience Act,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
ESA,European Supervisory Authorities,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
TPP,Third-Party Providers,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
TPRM,Third-Party Risk Management,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CSP,cloud Service Provider,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
CTPPs,Critical ICT Third-Party Providers,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
JOF,Joint Oversight Forum,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
NIS2,Information Security Directive 2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
PSD2,Payment Services Directive 2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CSIRTs,Cooperation Group and computer security incident response teams,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ENISA,European Union Agency for Cybersecurity,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PSTN,Public Switched Telephone Network,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
POTS,Plain Old Telephone Service,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TLPT,threat-led penetration testing,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
G-SIIs,global systemically important institutions,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
O-SIIs,other systemically important institutions,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
BIA,business impact analysis,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
JON,Joint Oversight Network,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
EGBPI,"Expert Group on Banking, Payments and Insurance",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
RSB,Regulatory Scrutiny Board,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
SFD,settlement finality in payment and securities settlement systems,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
MFF,Multiannual Financial Framework,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OLAF,European Anti-Fraud Office,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CIISI-EU,Cyber threat Intelligence Information Sharing Initiative,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CSIRTS,Computer Security Incident Response Teams,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
T2S,TARGET2-Securites,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TIPS,TARGET Instant Payment Settlement,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
FMIs,financial market infrastructures ,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
SSM,Single Supervisory Mechanism,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TIBER-EU,Threat Intelligence Based Ethical Red-teaming,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TCT,TIBER Cyber Team,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DOI,declaration of interests,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DG AGRI,Directorate-General for Agriculture and Rural Development,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
EGTOP, Expert Group for Technical Advice on Organic Production,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
SCA,Surveillance Authority and a Court of Justice,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
INSEE,Institute of Statistics and Economic Studies,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
RRF,Recovery and Resilience Facility ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
SDGs,Sustainable Development Goals,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
RP,Recovery Plan,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
EMU,Economic and Monetary Union,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
CSOs,civil society organisations,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NRRPs,National Recovery and Resilience Plans,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
OCS,organised civil society,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
EPPO,European Public Prosecutor’s Office,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CPSR,Contractor Purchasing System Review,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
DCMA,Defense Contract Management Agency,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ACO,"Administrative Contracting Officer,",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CAR,Correction Action Request,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CAP,Corrective Action Plan,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Overall performance,,0.696,0.783,0.539,0.661,0.748,0.617
