Laws,GPT4,GPT4o,GPT3.5,Mistral,Llama3 1-Shot,Llama3 0-Shot
"3, 4(2), 11(6) to 11(10) of EMIR",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35 of RTS on CCP requirement,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38 of EMIR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39 of EMIR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4 of EMIR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"41 of EMIR
27(3) of RTS on CCP requirements",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
42 of EMIR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
43(3) and 48(2) of EMIR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
45(4) of EMIR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
46 of EMIR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
37 of RTS on CCP requirements,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
47 of EMIR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
48 of EMIR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
49 of EMIR ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4a and 10 of EMIR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5 of the ITS on reporting to TR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
56 of EMIR,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
6 of EMIR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
81 of EMIR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9 of EMIR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Art 2.1 of RTS on Third Country contracts,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Article 10 of EMIR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Article 16 of the ESMA Regulation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Article 19(6) of Directive 2004/39/EC,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Article 2(3)(g) of AIFMD,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Article 2(7) of EMIR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Article 2(8) of EMIR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Article 29(2) of the ESMA Regulation,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Article 2a of EMIR,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Article 3(2) of the AIFMD,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Article 4(1)(14) of Directive 2004/39/EC,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Article 4(1)(b)(ii) of EMIR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Article 4(2)(b) of RTS 2017/2155 amending RTS 149/2013,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Article 4(3) of EMIR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Article 4(4) of EMIR and Article 2 RTS on OTC derivatives,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Article 4(9) of MiFID,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Article 42 of the AIFMD,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Article 4a(2) and Article10(2) for FCs and NFCs,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Article 4a(3) and Article 10(3) of EMIR,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Article 61(3) of AIFMD,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Article 61(4) of AIFMD,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Article 9(1) of EMIR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Articles 9(1b) to (1d) EMIR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Directive 2006/48/EC,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Directive 2006/49/EC,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Directive 2011/61/EU,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Directive 2011/61/EU,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Directive 83/349/EEC,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
European Commission FAQ no. 14,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Guideline and Recommendation 3(b)(v),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Article 1(c) of the Commission Delegated Regulation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
article 13(2) of EMIR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
article 16b(5) of the ESMA Regulation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
EMIR Article 11(2),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Article 4(1)(b)(ii) of EMIR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Article 4(2)(b) of RTS 2017/2155,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Article 4(4)(b) of the Indirect Clearing RTS,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
(EU) No 285/2014,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Article 46(1) of EMIR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Articles 48(5) of EMIR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Articles 48(6) of EMIR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Article 39(7) of EMIR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Article 47(3) of EMIR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Settlement Finality Directive (98/26/EC),TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Article 47 Model Validation (of the Commission delegated Regulation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Commission Delegated Regulation No 2013/153,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Recital 13 of Commission Delegated Regulation No 2013/153,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Commission Regulation (EC) No 1126/2008,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Overall,0.2500,0.3700,0.2100,0.2300,0.0500,0.0000
